index,date,high,low,open,close,adjust,volume
2301,2018-09-14,99.0,97.4,99.0,97.7,93.65,59810
2302,2018-09-17,97.0,93.2,97.0,94.0,90.11,70650
2303,2018-09-18,97.0,93.0,93.0,97.0,92.98,91820
2304,2018-09-19,98.0,93.0,97.0,97.5,93.46,89870
2305,2018-09-20,98.0,94.6,97.5,98.0,93.94,44550
2306,2018-09-21,99.0,96.5,98.0,97.7,93.65,266280
2307,2018-09-24,98.5,97.0,98.5,97.7,93.65,11960
2308,2018-09-25,97.7,94.0,97.3,97.0,92.98,24830
2309,2018-09-26,97.0,95.0,97.0,95.0,91.07,49360
2310,2018-09-27,98.4,95.0,95.0,98.4,94.32,101430
2311,2018-09-28,99.3,97.4,99.0,98.0,93.94,45070
2312,2018-10-01,98.0,96.8,98.0,97.0,92.98,60200
2313,2018-10-02,98.0,96.0,97.0,96.0,92.02,69440
2314,2018-10-03,97.5,95.2,95.2,96.0,92.02,10110
2315,2018-10-04,96.0,94.0,95.1,95.5,91.54,38220
2316,2018-10-05,97.0,95.4,96.0,96.0,92.02,26760
2317,2018-10-08,96.0,92.5,96.0,93.1,89.24,82280
2318,2018-10-09,95.5,92.6,95.5,92.6,88.77,20800
2319,2018-10-10,93.0,91.0,92.6,92.0,88.19,184620
2320,2018-10-11,89.1,85.6,87.6,87.6,83.97,193090
2321,2018-10-12,91.0,84.7,84.7,91.0,87.23,187360
2322,2018-10-15,91.0,86.1,91.0,90.0,86.27,69370
2323,2018-10-16,90.0,88.1,88.1,89.4,85.7,57750
2324,2018-10-17,90.4,89.4,90.0,89.5,85.79,44560
2325,2018-10-18,92.5,89.3,89.5,92.2,88.38,89260
2326,2018-10-19,92.6,90.5,90.8,92.0,88.19,67550
2327,2018-10-22,92.9,91.4,92.0,91.8,88.0,29130
2328,2018-10-23,92.0,90.6,91.8,92.0,88.19,67890
2329,2018-10-24,93.0,89.5,89.5,93.0,89.15,84930
2330,2018-10-25,92.9,87.1,87.1,92.9,89.05,139280
2331,2018-10-26,93.5,89.9,92.9,93.5,89.63,141820
2332,2018-10-29,94.7,92.0,92.0,94.7,90.78,144560
2333,2018-10-30,96.5,91.5,91.5,96.4,92.41,229710
2334,2018-10-31,99.0,96.0,96.4,98.1,94.04,273050
2335,2018-11-01,98.6,97.7,98.1,98.5,94.42,277060
2336,2018-11-02,98.9,95.5,98.9,95.8,91.83,94690
2337,2018-11-05,95.7,92.5,95.5,92.9,89.05,86550
2338,2018-11-06,94.0,92.6,92.6,93.5,89.63,44440
2339,2018-11-07,95.9,92.6,95.9,94.3,90.39,11550
2340,2018-11-08,95.5,90.1,90.1,94.2,90.3,105260
2341,2018-11-09,96.0,94.0,94.0,95.7,91.74,51740
2342,2018-11-12,98.2,95.0,95.0,97.6,93.56,88770
2343,2018-11-13,99.0,96.0,97.0,99.0,94.9,60710
2344,2018-11-14,99.0,97.0,99.0,98.0,93.94,89250
2345,2018-11-15,96.5,94.0,96.2,94.0,90.11,81850
2346,2018-11-16,95.9,94.0,95.0,94.8,90.87,41790
2347,2018-11-19,95.0,93.0,94.7,95.0,91.07,63740
2348,2018-11-20,95.1,93.0,94.9,94.7,90.78,53000
2349,2018-11-21,94.5,93.0,93.0,94.0,90.11,40110
2350,2018-11-22,96.2,93.6,95.9,96.2,92.22,62530
2351,2018-11-23,97.9,95.9,95.9,97.9,93.85,74860
2352,2018-11-26,97.9,97.1,97.9,97.9,93.85,138330
2353,2018-11-27,97.9,96.2,97.9,97.6,93.56,72990
2354,2018-11-28,97.6,96.0,97.6,97.3,93.27,34180
2355,2018-11-29,96.3,95.0,96.0,95.0,91.07,58130
2356,2018-11-30,101.6,95.0,95.0,95.8,91.83,257850
2357,2018-12-03,99.0,96.8,97.0,97.3,93.27,60370
2358,2018-12-04,98.6,97.4,97.5,98.2,94.13,62390
2359,2018-12-05,102.5,97.0,97.0,102.5,98.26,190820
2360,2018-12-06,102.5,100.8,102.5,101.8,97.58,70600
2361,2018-12-07,103.0,100.5,100.5,102.4,98.16,90430
2362,2018-12-10,103.0,100.0,103.0,101.8,97.58,41210
2363,2018-12-11,101.8,99.5,101.8,100.3,96.15,72940
2364,2018-12-12,104.0,101.1,102.0,102.0,97.78,106070
2365,2018-12-13,102.0,101.0,102.0,101.0,96.82,109620
2366,2018-12-14,100.9,99.4,100.1,99.4,95.28,87660
2367,2018-12-17,100.0,97.5,99.8,98.6,94.52,50810
2368,2018-12-18,98.6,93.2,98.6,94.0,90.11,140910
2369,2018-12-19,94.9,91.0,94.0,91.0,87.23,148480
2370,2018-12-20,94.0,91.0,91.0,93.3,89.44,76800
2371,2018-12-21,95.2,92.0,94.5,95.2,91.26,120930
2372,2018-12-24,95.2,92.0,95.2,92.0,88.19,60340
2373,2018-12-25,92.7,89.3,92.0,92.0,88.19,38890
2374,2018-12-26,92.0,90.2,92.0,90.7,86.94,86530
2375,2018-12-27,93.5,92.0,92.0,92.3,88.48,22060
2376,2018-12-28,93.0,89.0,92.5,89.0,85.31,58390
2377,2019-01-02,90.9,89.0,89.0,89.0,85.31,87080
2378,2019-01-03,91.0,88.4,90.5,89.2,85.51,55310
2379,2019-01-04,89.2,86.0,89.2,88.6,84.93,166940
2380,2019-01-07,90.8,87.7,89.5,88.6,84.93,92970
2381,2019-01-08,88.6,88.0,88.6,88.2,84.55,36610
2382,2019-01-09,90.0,86.0,86.0,89.0,85.31,100610
2383,2019-01-10,90.1,88.1,88.1,89.5,85.79,49800
2384,2019-01-11,90.9,89.5,90.4,90.4,86.66,32020
2385,2019-01-14,90.3,88.0,90.3,88.5,84.83,26560
2386,2019-01-15,89.4,88.1,88.5,88.7,85.03,42400
2387,2019-01-16,90.0,88.8,90.0,90.0,86.27,41990
2388,2019-01-17,92.4,90.0,90.0,91.9,88.09,51470
2389,2019-01-18,92.0,90.1,90.1,91.9,88.09,38310
2390,2019-01-21,92.5,91.0,92.0,92.0,88.19,22660
2391,2019-01-22,92.4,90.0,92.4,90.0,86.27,57790
2392,2019-01-23,91.9,90.0,91.9,90.3,86.56,47870
2393,2019-01-24,91.5,90.0,91.0,90.3,86.56,33490
2394,2019-01-25,92.0,90.3,90.3,91.9,88.09,21490
2395,2019-01-28,93.9,92.0,93.9,93.1,89.24,39180
2396,2019-01-29,94.4,92.1,93.5,94.4,90.49,51580
2397,2019-01-30,96.8,90.6,90.6,96.5,92.5,125610
2398,2019-01-31,97.0,92.2,97.0,92.2,88.38,109540
2399,2019-02-01,96.0,93.3,96.0,95.7,91.74,88980
2400,2019-02-11,95.7,95.0,95.0,95.5,91.54,64480
2401,2019-02-12,95.5,95.0,95.5,95.1,91.16,77860
2402,2019-02-13,98.0,94.5,95.5,96.5,92.5,111960
2403,2019-02-14,98.5,96.3,97.0,96.3,92.31,122040
2404,2019-02-15,97.7,95.0,97.0,95.5,91.54,88230
2405,2019-02-18,96.8,92.2,95.5,93.0,89.15,91670
2406,2019-02-19,94.9,93.1,93.5,94.2,90.3,30770
2407,2019-02-20,96.5,94.0,94.2,96.0,92.02,88130
2408,2019-02-21,96.0,95.2,96.0,95.4,91.45,114100
2409,2019-02-22,97.9,95.0,96.0,96.5,92.5,147330
2410,2019-02-25,97.4,94.6,96.5,94.9,90.97,180880
2411,2019-02-26,95.9,93.0,94.9,93.2,89.34,150170
2412,2019-02-27,95.5,93.3,94.0,95.2,91.26,74070
2413,2019-02-28,95.8,93.6,95.2,94.0,90.11,153040
2414,2019-03-01,94.5,93.3,94.5,93.7,89.82,56320
2415,2019-03-04,96.8,93.7,93.7,96.5,92.5,119450
2416,2019-03-05,98.4,95.1,95.1,98.3,94.23,300850
2417,2019-03-06,98.5,97.3,98.3,98.0,93.94,273310
2418,2019-03-07,98.5,96.5,98.2,96.6,92.6,92910
2419,2019-03-08,96.0,95.0,95.5,95.4,91.45,49270
2420,2019-03-11,96.1,95.4,96.1,95.6,91.64,149040
2421,2019-03-12,96.7,95.7,95.8,95.8,91.83,199160
2422,2019-03-13,97.0,95.9,96.5,96.0,92.02,158480
2423,2019-03-14,97.5,95.8,96.0,95.8,91.83,105300
2424,2019-03-15,97.1,96.0,96.0,96.3,92.31,485910
2425,2019-03-18,97.0,95.0,96.3,95.0,91.07,122480
2426,2019-03-19,96.0,94.7,96.0,95.3,91.35,203310
2427,2019-03-20,97.9,95.3,95.3,97.6,93.56,219060
2428,2019-03-21,98.2,96.0,97.0,96.0,92.02,81670
2429,2019-03-22,96.5,95.6,95.6,96.1,92.12,72660
2430,2019-03-25,96.1,95.5,96.1,95.5,91.54,76750
2431,2019-03-26,95.8,94.6,95.5,94.6,90.68,75260
2432,2019-03-27,96.5,94.8,95.5,95.7,91.74,47500
2433,2019-03-28,96.4,93.0,96.0,96.0,92.02,39030
2434,2019-03-29,97.4,95.0,96.0,95.0,91.07,148060
2435,2019-04-01,96.0,94.0,96.0,95.0,91.07,75410
2436,2019-04-02,96.2,93.6,95.0,94.3,90.39,71220
2437,2019-04-03,94.9,92.5,94.0,93.0,89.15,109810
2438,2019-04-04,94.1,93.0,93.5,94.0,90.11,48150
2439,2019-04-05,94.1,93.7,94.0,93.7,89.82,21140
2440,2019-04-08,94.4,93.9,94.0,94.1,90.2,67060
2441,2019-04-09,95.0,94.1,95.0,95.0,91.07,141630
2442,2019-04-10,94.9,93.0,94.5,94.5,90.59,36060
2443,2019-04-11,94.5,93.6,93.9,93.9,90.01,46900
2444,2019-04-12,94.0,92.3,94.0,92.3,88.48,115230
2445,2019-04-16,92.3,90.0,92.3,91.3,87.52,40520
2446,2019-04-17,92.9,90.4,90.5,91.2,87.42,95820
2447,2019-04-18,92.0,90.8,92.0,91.0,87.23,45450
2448,2019-04-19,92.1,91.0,91.0,91.5,87.71,14560
2449,2019-04-22,91.5,90.0,91.5,90.3,86.56,22920
2450,2019-04-23,91.8,89.0,89.0,91.8,88.0,30600
2451,2019-04-24,92.0,90.9,91.0,90.9,87.14,16560
